,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Apartment,"5023 22nd Avenue NE 5023 22nd Ave NE, Seattle, WA 98105",,2-bedroom,1.0,920.0,1999.0,5,8.2,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/5023-22nd-Ave-NE_Seattle_WA_98105_M24817-14667
1,,Apartment,"3406 15th Ave W, Seattle, WA 98119",,2-bedroom,1.0,1020.0,2750.0,5,8.4,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/3406-15th-Ave-W_Seattle_WA_98119_M10367-61342
2,,Single Family Home,"3502 NE 91st St, Seattle, WA 98115",,3-bedroom,,1840.0,2295.0,6,8.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/3502-NE-91st-St_Seattle_WA_98115_M28462-14776
3,,Single Family Home,"2918 E Republican St, Seattle, WA 98112",,4-bedroom,,2920.0,4600.0,6,4.5,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/2918-E-Republican-St_Seattle_WA_98112_M25095-61252
4,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,453.0,1699.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
5,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,539.0,1935.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
6,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,527.0,2555.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
7,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,509.0,2472.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
8,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,454.0,1559.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
9,,Apartment,"206 Bell 206 Bell St, Seattle, WA 98121",2013,studio,1.0,531.0,2070.0,4,6.25,2650.0,684990.0,"['*In Select Units', '97 Walk Score', 'Accepts Credit Card Payments', 'Accepts Electronic Payments', 'Additional Storage On-Site', 'Ample Storage', 'Balcony', 'Billiards Room', 'Breakfast Bar*', 'Built-In Microwave', 'Cable Ready', 'Cable or Satellite', 'Cats Allowed', 'City, Mountain & Water Views*', 'Controlled Access', 'Courtyards', 'Covered Sky lounge with big screen TV', 'Customized Studio, One & Two Bedroom Floor Plans', 'Dogs Allowed', 'Easy Access to I5, 99, 520 & I90', 'Energy Star Appliances', 'Fitness Center', 'Floating Hardwood Floors', 'Free Bike Storage', 'Free Covered Bike Storage', 'Free Weights', 'Free Weights Available', 'Full Size Washer & Dryer', 'Full Size Washer and Dryer', 'Gas firepit and grilling area', 'Gated', 'Glass Top Range', 'Green Community', 'Heating', 'High Speed Internet Access', 'Key Fob Entry', 'Lounge', 'Package Receiving', 'Package Service', 'Patio', 'Pet Care', 'Pet Friendly', 'Public Transportation', 'Quartz Countertops', 'Range', 'Range', 'Reserved Garage Parking', 'Resident Lounge', 'Restaurant On Site', 'Roof Top Terrace with Sweeping City & Puget ...', 'Sky Lounge BBQ Area', 'Smoke Free', 'Stainless Appliances', 'Undermount Sinks', 'Valet Dry Cleaning', 'Walk-In Closet', 'Walk-In Closet*', 'Walk-In Closets', 'Washer & Dryer', 'Washer/Dryer', 'Wi-Fi Hot Spots']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Garage', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/206-Bell-St_Seattle_WA_98121_M27327-93876
