,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Condo/Townhome/Row Home/Co-Op,"3426 23rd Ave W Unit B, Seattle, WA 98199",,2-bedroom,1.0,875.0,1650.0,5,8.2,2650.0,684990.0,"['Parking', '']","['Dishwasher', 'Hardwood Floors', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/3426-23rd-Ave-W-B_Seattle_WA_98199_M16492-31479
1,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,studio,1.0,455.0,1746.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
2,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,1-bedroom,1.0,903.0,2199.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
3,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,1-bedroom,1.0,715.0,2100.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
4,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,1-bedroom,1.0,903.0,2199.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
5,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,1-bedroom,1.0,644.0,1799.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
6,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,2-bedroom,2.0,972.0,3128.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
7,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,2-bedroom,1.0,835.0,2475.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
8,Leva on Market,Apartment,"1545 NW Market St, Seattle, WA 98107",2009,2-bedroom,1.0,880.0,2475.0,5,7.4,2650.0,684990.0,"['24 Hour Availability', 'Alarm', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Clubhouse', 'Coffee Bar', 'Controlled Access', 'Courtesy Patrol', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Grill', 'Guest Apartment', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Kitchen', 'LEED Rating', 'Large Bedrooms', 'Large Dogs Allowed', 'Large Dogs Welcome', 'Linen Closet', 'Loft Layout', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pantry', 'Patio', 'Pet Care', 'Pet Play Area', 'Picnic Area', 'Planned Social Activities', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Weight Machines', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1545-NW-Market-St_Seattle_WA_98107_M18761-30750
9,The Wilsonian,Apartment,"4710 University Way NE, Seattle, WA 98105",1923,studio,1.0,410.0,1389.0,5,8.0,2650.0,684990.0,"['24 Hour Availability', '24 Hour Emergency Maintenance', 'Balcony', 'Breakfast Nook', 'Cable Ready', 'Controlled Access', 'Courtesy Patrol', 'Crown Molding', 'Den', 'Dentist in Building', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Framed Mirrors', 'Freezer', 'Grill', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Large Service Elevator', 'Laundry Facilities', 'Linen Closet', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Pantry', 'Property Manager on Site', 'Range', 'Renters Insurance Program', 'Rooftop Lounge', 'Security System', 'Smoke Free', 'Sprinkler System', 'Storage Space', 'Storage Units', 'Tile Floors', 'Trash Compactor', 'Tub/Shower', 'Views', 'Walk-In Closets', 'Waxing Spa in building', 'Wi-Fi', 'Wifi in Lounge']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Fireplace', 'Handrails', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/4710-University-Way-NE_Seattle_WA_98105_M24466-45489
