,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,The Weatherford,Apartment,"1321 E John St, Seattle, WA 98102",2014,1-bedroom,1.0,564.0,1895.0,4,3.5,2650.0,684990.0,"['Alarm', 'Balcony', 'Barbecue Area', 'Bike Storage', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Coffee Bar', 'Composting', 'Controlled Access', 'Den', 'Dogs Allowed', 'Double Pane Windows', 'Elevator', 'Freezer', 'Granite Countertops', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Island Kitchen', 'Kitchen', 'Online Resident Services', 'Online Services', 'Oven', 'Package Service', 'Patio', 'Private Entrance', 'Recycling', 'Rooftop Lounge', 'Security System', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Units', 'Tub/Shower', 'Video Patrol', 'Views', 'Vinyl Flooring', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)', 'high ceilings', 'juliet', 'walk in closet']","['Cable or Satellite TV', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/1321-E-John-St_Seattle_WA_98102_M21191-75833
1,The Weatherford,Apartment,"1321 E John St, Seattle, WA 98102",2014,2-bedroom,2.0,948.0,3595.0,4,3.5,2650.0,684990.0,"['Alarm', 'Balcony', 'Barbecue Area', 'Bike Storage', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Coffee Bar', 'Composting', 'Controlled Access', 'Den', 'Dogs Allowed', 'Double Pane Windows', 'Elevator', 'Freezer', 'Granite Countertops', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Island Kitchen', 'Kitchen', 'Online Resident Services', 'Online Services', 'Oven', 'Package Service', 'Patio', 'Private Entrance', 'Recycling', 'Rooftop Lounge', 'Security System', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Units', 'Tub/Shower', 'Video Patrol', 'Views', 'Vinyl Flooring', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)', 'high ceilings', 'juliet', 'walk in closet']","['Cable or Satellite TV', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/1321-E-John-St_Seattle_WA_98102_M21191-75833
2,,Apartment,"8543 Midvale Ave N # 402, Seattle, WA 98103",,1-bedroom,1.0,600.0,1699.0,3,6.0,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Parking']","['Air Conditioning', 'Dishwasher', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/8543-Midvale-Ave-N-402_Seattle_WA_98103_M23113-07844
3,,Single Family Home,"2416 Wickstrom Pl SW, Seattle, WA 98116",,3-bedroom,,1620.0,3495.0,5,6.6,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/2416-Wickstrom-Pl-SW_Seattle_WA_98116_M29543-59378
4,,Apartment,"6500 24th Avenue NW 6500 24th Ave NW, Seattle, WA 98117",,1-bedroom,1.0,675.0,1395.0,6,7.5,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/6500-24th-Ave-NW_Seattle_WA_98117_M22617-95989
5,,Apartment,"3030 Lake City 3030 NE 143rd St, Seattle, WA 98125",1977,1-bedroom,1.0,653.0,1325.0,5,6.0,2650.0,684990.0,"['Balcony', 'Business Center', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Controlled Access', 'Deck', 'Dogs Allowed', 'Eat-in Kitchen', 'Freezer', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Laundry Facilities', 'Laundry Service', 'Linen Closet', 'Maintenance on site', 'Media Center/Movie Theatre', 'Online Resident Services', 'Online Services', 'Oversized Kitchens', 'Pet Play Area', 'Planned Social Activities', 'Property Manager on Site', 'Quartz Countertops', 'Range', 'Recycling', 'Renters Insurance Program', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Units', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Wood Style Flooring']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/3030-NE-143rd-St_Seattle_WA_98125_M22351-22074
6,,Apartment,"3030 Lake City 3030 NE 143rd St, Seattle, WA 98125",1977,2-bedroom,1.0,930.0,1725.0,5,6.0,2650.0,684990.0,"['Balcony', 'Business Center', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Controlled Access', 'Deck', 'Dogs Allowed', 'Eat-in Kitchen', 'Freezer', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Laundry Facilities', 'Laundry Service', 'Linen Closet', 'Maintenance on site', 'Media Center/Movie Theatre', 'Online Resident Services', 'Online Services', 'Oversized Kitchens', 'Pet Play Area', 'Planned Social Activities', 'Property Manager on Site', 'Quartz Countertops', 'Range', 'Recycling', 'Renters Insurance Program', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Units', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Wood Style Flooring']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/3030-NE-143rd-St_Seattle_WA_98125_M22351-22074
7,,Apartment,"3030 Lake City 3030 NE 143rd St, Seattle, WA 98125",1977,2-bedroom,2.0,930.0,1700.0,5,6.0,2650.0,684990.0,"['Balcony', 'Business Center', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Controlled Access', 'Deck', 'Dogs Allowed', 'Eat-in Kitchen', 'Freezer', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Laundry Facilities', 'Laundry Service', 'Linen Closet', 'Maintenance on site', 'Media Center/Movie Theatre', 'Online Resident Services', 'Online Services', 'Oversized Kitchens', 'Pet Play Area', 'Planned Social Activities', 'Property Manager on Site', 'Quartz Countertops', 'Range', 'Recycling', 'Renters Insurance Program', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Units', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Wood Style Flooring']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/3030-NE-143rd-St_Seattle_WA_98125_M22351-22074
8,Interurban Lofts,Apartment,"17020 Aurora Ave N, Shoreline, WA 98133",2017,studio,1.0,140.0,840.0,5,5.4,2395.0,642500.0,"['$150 Utility/Wifi Surcharge 2nd Occupant', 'Barbecue/Grill', 'Bicycle Storage Room with Racks', 'Deck', 'Heating', 'Laundry Facilities', 'Lounge', 'Property Manager on Site', 'Public Transportation', 'Shared Kitchens', 'Smoke Free', 'Tub/Shower', 'Video Patrol', 'Wi-Fi']","['Microwave', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/17020-Aurora-Ave-N_Shoreline_WA_98133_M21028-53350
9,Interurban Lofts,Apartment,"17020 Aurora Ave N, Shoreline, WA 98133",2017,studio,1.0,210.0,995.0,5,5.4,2395.0,642500.0,"['$150 Utility/Wifi Surcharge 2nd Occupant', 'Barbecue/Grill', 'Bicycle Storage Room with Racks', 'Deck', 'Heating', 'Laundry Facilities', 'Lounge', 'Property Manager on Site', 'Public Transportation', 'Shared Kitchens', 'Smoke Free', 'Tub/Shower', 'Video Patrol', 'Wi-Fi']","['Microwave', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/17020-Aurora-Ave-N_Shoreline_WA_98133_M21028-53350
10,Centerwood Apartments,Apartment,"10790 16th Ave SW, Seattle, WA 98146",2009,2-bedroom,2.0,735.0,1495.0,5,4.0,2650.0,684990.0,"['Barbecue Area', 'Barbecue/Grill', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Controlled Access', 'Dining Room', 'Dogs Under 40 Pounds Allowed', 'Double Pane Windows', 'Freezer', 'Grill', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Oven', 'Pantry', 'Playground', 'Range', 'Security System', 'Small Dogs Allowed', 'Smoke Free', 'Sprinkler System', 'Tub/Shower', 'Warming Drawer', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Microwave', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/10790-16th-Ave-SW_Seattle_WA_98146_M13466-86962
11,,Apartment,"4259 8th Avenue NE 4259 8th Ave NE, Seattle, WA 98105",,2-bedroom,1.0,650.0,1750.0,5,8.0,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/4259-8th-Ave-NE_Seattle_WA_98105_M14158-72332
12,,Apartment,"4259 8th Avenue NE 4259 8th Ave NE, Seattle, WA 98105",,2-bedroom,2.0,850.0,2000.0,5,8.0,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/4259-8th-Ave-NE_Seattle_WA_98105_M14158-72332
13,,Apartment,"906 S Eddy St Apt 3, Seattle, WA 98108",,studio,1.0,600.0,1500.0,6,5.67,2650.0,684990.0,"['Parking', '']","['Hardwood Floors', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/906-S-Eddy-St-Apt-3_Seattle_WA_98108_M29159-96215
14,,Condo/Townhome/Row Home/Co-Op,"1729 18th Ave E, Seattle, WA 98122",,2-bedroom,,,2075.0,5,3.8,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/1729-18th-Ave_Seattle_WA_98122_M16469-27288
