,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Condo/Townhome/Row Home/Co-Op,"2620 NW 63rd St, Seattle, WA 98107",,2-bedroom,1,700.0,1750.0,6,7.5,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/2620-NW-63rd-St_Seattle_WA_98107_M28606-78334
1,,Other,"1408 12th Ave Unit 303, Seattle, WA 98122",,1-bedroom,1,704.0,2650.0,4,3.25,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/1408-12th-Ave-Unit-303_Seattle_WA_98122_M26594-10389
2,,Single Family Home,"2311 48th Ave SW, Seattle, WA 98116",,3-bedroom,,1420.0,2795.0,5,6.6,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/2311-48th-Ave-SW_Seattle_WA_98116_M26783-95046
3,,Apartment,"2114 E Yesler Way 2114 E Yesler Way, Seattle, WA 98122",,studio,1.0,550.0,1450.0,6,4.17,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/2114-E-Yesler-Way_Seattle_WA_98122_M16098-19155
4,,Apartment,"2114 E Yesler Way 2114 E Yesler Way, Seattle, WA 98122",,2-bedroom,1.0,840.0,1950.0,6,4.17,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/2114-E-Yesler-Way_Seattle_WA_98122_M16098-19155
5,,Condo/Townhome/Row Home/Co-Op,"4511 SW Lander St Apt A, Seattle, WA 98116",,3-bedroom,1.0,1600.0,2695.0,5,6.6,2650.0,684990.0,"['Laundry Facility', 'Parking']","['Dishwasher', 'Hardwood Floors', 'Large Closets']",https://www.realtor.com/realestateandhomes-detail/4511-SW-Lander-St-Apt-A_Seattle_WA_98116_M22482-68207
6,,Single Family Home,"2121A N 113th St, Seattle, WA 98133",,2-bedroom,,1200.0,2195.0,4,5.5,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/2121A-N-113th-St_Seattle_WA_98133_M10078-55566
7,Circa Green Lake Apartments,Apartment,"6900 E Green Lake Way N, Seattle, WA 98115",2009,studio,1.0,560.0,1683.0,4,8.25,2650.0,684990.0,"['24-Hour Fitness Center', '2nd Floor', '3,500 sf Green Roof Top Deck with Grilling Station', '3rd Floor', '4th Floor', 'ADA', 'BBQ/Picnic Area', 'Balcony', 'Bar Kitchen', 'Barbecue Area', 'Barbecue/Grill', 'Bike Racks', 'Bike Storage', 'Breakfast Nook', 'Business Center', 'Cabana', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Closed Bedroom', 'Clubhouse', 'Composting', 'Controlled Access', 'Deck', 'Den', 'Den', 'Dishwasher and Microwave', 'Double Pane Windows', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Energy Star Certified', 'European Cabinetry With Nickel Accents', 'Extra Storage', 'Fitness Center', 'Free Weights', 'Free Weights', 'Freezer', 'Full Lk View', 'Gated', 'Granite Countertops', 'Green Building', 'Grill', 'Hardwood Floors', 'Hardwood Floors', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Intercom', 'Island Kitchen', 'Kitchen', 'Lake Access', 'Large Dogs Allowed', 'Linen Closet', 'Lounge', 'Maintenance on site', 'Multi Use Room', 'Nook', 'Office', 'On-Site Retail', 'Online Services', 'Oven', 'Oversized Window With Abundant Natural Light', 'Package Receiving', 'Package Service', 'Partial Lk View', 'Planned Social Activities', 'Poor Location/Corner', 'Property Manager on Site', 'Public Transportation', 'Quartz Countertops', 'Range', 'Recycling', 'Recycling', 'Renters Insurance Program', 'Reserved Parking', 'Rooftop Lounge', 'Smoke Free', 'Spacious Floorplans With Ample Closets', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Street Side', 'Sundeck', 'Sundeck Seating and BBQ', 'Tub/Shower', 'Views', 'Views of Green Lake and Park', 'Vinyl Flooring', 'Walk In Closet', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Washer/Dryer', 'Waterfront', 'Weight Machines', 'Wheelchair Access', 'Wheelchair Accessible (Rooms)']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/6900-E-Green-Lake-Way-N_Seattle_WA_98115_M10910-72863
8,Circa Green Lake Apartments,Apartment,"6900 E Green Lake Way N, Seattle, WA 98115",2009,1-bedroom,1.0,846.0,1848.0,4,8.25,2650.0,684990.0,"['24-Hour Fitness Center', '2nd Floor', '3,500 sf Green Roof Top Deck with Grilling Station', '3rd Floor', '4th Floor', 'ADA', 'BBQ/Picnic Area', 'Balcony', 'Bar Kitchen', 'Barbecue Area', 'Barbecue/Grill', 'Bike Racks', 'Bike Storage', 'Breakfast Nook', 'Business Center', 'Cabana', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Closed Bedroom', 'Clubhouse', 'Composting', 'Controlled Access', 'Deck', 'Den', 'Den', 'Dishwasher and Microwave', 'Double Pane Windows', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Energy Star Certified', 'European Cabinetry With Nickel Accents', 'Extra Storage', 'Fitness Center', 'Free Weights', 'Free Weights', 'Freezer', 'Full Lk View', 'Gated', 'Granite Countertops', 'Green Building', 'Grill', 'Hardwood Floors', 'Hardwood Floors', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Intercom', 'Island Kitchen', 'Kitchen', 'Lake Access', 'Large Dogs Allowed', 'Linen Closet', 'Lounge', 'Maintenance on site', 'Multi Use Room', 'Nook', 'Office', 'On-Site Retail', 'Online Services', 'Oven', 'Oversized Window With Abundant Natural Light', 'Package Receiving', 'Package Service', 'Partial Lk View', 'Planned Social Activities', 'Poor Location/Corner', 'Property Manager on Site', 'Public Transportation', 'Quartz Countertops', 'Range', 'Recycling', 'Recycling', 'Renters Insurance Program', 'Reserved Parking', 'Rooftop Lounge', 'Smoke Free', 'Spacious Floorplans With Ample Closets', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Street Side', 'Sundeck', 'Sundeck Seating and BBQ', 'Tub/Shower', 'Views', 'Views of Green Lake and Park', 'Vinyl Flooring', 'Walk In Closet', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Washer/Dryer', 'Waterfront', 'Weight Machines', 'Wheelchair Access', 'Wheelchair Accessible (Rooms)']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/6900-E-Green-Lake-Way-N_Seattle_WA_98115_M10910-72863
9,Circa Green Lake Apartments,Apartment,"6900 E Green Lake Way N, Seattle, WA 98115",2009,1-bedroom,1.0,748.0,2191.0,4,8.25,2650.0,684990.0,"['24-Hour Fitness Center', '2nd Floor', '3,500 sf Green Roof Top Deck with Grilling Station', '3rd Floor', '4th Floor', 'ADA', 'BBQ/Picnic Area', 'Balcony', 'Bar Kitchen', 'Barbecue Area', 'Barbecue/Grill', 'Bike Racks', 'Bike Storage', 'Breakfast Nook', 'Business Center', 'Cabana', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'Closed Bedroom', 'Clubhouse', 'Composting', 'Controlled Access', 'Deck', 'Den', 'Den', 'Dishwasher and Microwave', 'Double Pane Windows', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Energy Star Certified', 'European Cabinetry With Nickel Accents', 'Extra Storage', 'Fitness Center', 'Free Weights', 'Free Weights', 'Freezer', 'Full Lk View', 'Gated', 'Granite Countertops', 'Green Building', 'Grill', 'Hardwood Floors', 'Hardwood Floors', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Intercom', 'Island Kitchen', 'Kitchen', 'Lake Access', 'Large Dogs Allowed', 'Linen Closet', 'Lounge', 'Maintenance on site', 'Multi Use Room', 'Nook', 'Office', 'On-Site Retail', 'Online Services', 'Oven', 'Oversized Window With Abundant Natural Light', 'Package Receiving', 'Package Service', 'Partial Lk View', 'Planned Social Activities', 'Poor Location/Corner', 'Property Manager on Site', 'Public Transportation', 'Quartz Countertops', 'Range', 'Recycling', 'Recycling', 'Renters Insurance Program', 'Reserved Parking', 'Rooftop Lounge', 'Smoke Free', 'Spacious Floorplans With Ample Closets', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Street Side', 'Sundeck', 'Sundeck Seating and BBQ', 'Tub/Shower', 'Views', 'Views of Green Lake and Park', 'Vinyl Flooring', 'Walk In Closet', 'Walk-In Closets', 'Walking/Biking Trails', 'Washer/Dryer', 'Washer/Dryer', 'Waterfront', 'Weight Machines', 'Wheelchair Access', 'Wheelchair Accessible (Rooms)']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/6900-E-Green-Lake-Way-N_Seattle_WA_98115_M10910-72863
