,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Single Family Home,"6005 19th Ave S, Seattle, WA 98108",,4-bedroom,3.0,2000.0,3000.0,6,5.67,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/6005-19th-Ave-S_Seattle_WA_98108_M16407-96783
1,,Apartment,"4314 Winslow Pl N 4314 Winslow Pl N, Seattle, WA 98103",,2-bedroom,1.0,572.0,1795.0,6,8.33,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/4314-Winslow-Pl-N_Seattle_WA_98103_M15827-35038
2,,Condo/Townhome/Row Home/Co-Op,"224 23rd Ave E, Seattle, WA 98112",,0-bedroom,1.0,,1200.0,6,4.17,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/224-23rd-Ave-E_Seattle_WA_98112_M18714-54592
3,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,studio,1.0,363.0,1480.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
4,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,studio,1.0,504.0,1625.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
5,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,2-bedroom,2.0,825.0,2181.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
6,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,2-bedroom,2.0,875.0,2252.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
7,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,2-bedroom,2.0,876.0,2242.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
8,Rianna,Apartment,"718-736 12th Ave, Seattle, WA 98122",2000,2-bedroom,2.0,871.0,2276.0,5,3.6,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Fitness Center', 'Gated', 'Package Service', 'Smoke Free Living', 'Storage Space', 'Storage Units', 'Views', 'Walk-In Closets', 'Washer/Dryer']","['Dryer', 'View']",https://www.realtor.com/realestateandhomes-detail/718-736-12th-Ave_Seattle_WA_98122_M16403-16695
9,,Apartment,"5033 44th Ave NE 5033 44th Ave NE, Seattle, WA 98105",,3-bedroom,2.0,1800.0,2395.0,5,8.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/5033-44th-Ave-NE_Seattle_WA_98105_M13230-90805
