,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Other,"753 N 102nd St, Seattle, WA 98133",,2-bedroom,1,1000.0,1700.0,3,4.67,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/753-N-102nd-St_Seattle_WA_98133_M10622-70478
1,,Condo/Townhome/Row Home/Co-Op,"2820 E Madison St, Seattle, WA 98112",,2-bedroom,1,866.0,2350.0,6,4.5,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/2820-E-Madison-St_Seattle_WA_98112_M25223-21947
2,,Apartment,"2834 15th Ave W 2834 15th Ave W, Seattle, WA 98119",,1-bedroom,1.0,650.0,1545.0,5,8.4,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/2834-15th-Ave-W_Seattle_WA_98119_M17707-67092
3,,Apartment,"2834 15th Ave W 2834 15th Ave W, Seattle, WA 98119",,1-bedroom,1.0,525.0,1525.0,5,8.4,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/2834-15th-Ave-W_Seattle_WA_98119_M17707-67092
4,,Apartment,"2834 15th Ave W 2834 15th Ave W, Seattle, WA 98119",,2-bedroom,2.0,900.0,1825.0,5,8.4,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/2834-15th-Ave-W_Seattle_WA_98119_M17707-67092
5,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,1-bedroom,1.0,594.0,2715.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
6,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,1-bedroom,1.0,842.0,3115.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
7,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,1-bedroom,1.0,880.0,3981.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
8,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,1-bedroom,1.0,1111.0,6935.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
9,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,1-bedroom,1.0,739.0,3300.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
10,Kiara,Apartment,"970 Denny Way, Seattle, WA 98109",2018,2-bedroom,2.0,1719.0,9885.0,3,6.0,2650.0,684990.0,"['24 Hour Availability', 'Air Conditioner', 'Bike Storage', 'Business Center', 'Cable Ready', 'Cable Ready', 'Cardio Machines', 'Cats Allowed', 'Ceiling Fan', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Dogs Allowed', 'Doorman', 'Efficient Appliances', 'Electronic Thermostat', 'Elevator', 'Fitness Center', 'Free Weights', 'Free Weights', 'Gameroom', 'Gas Range', 'Gated', 'High Speed Internet Access', 'Maintenance on site', 'Media Center/Movie Theatre', 'Media Room', 'Package Receiving', 'Package Service', 'Pet Play Area', 'Property Manager on Site', 'Recycling', 'Sundeck', 'View', 'Washer/Dryer', 'Washer/Dryer', 'Weight Machines']","['Air Conditioning', 'Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/964-Denny-Way_Seattle_WA_98109_M15512-17006
