,Name,Address,Type,Built,Beds,Bath,Sqft,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
41,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,677.0,5,8.0,2650.0,684990.0,51,0,1771.0
42,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,777.0,5,8.0,2650.0,684990.0,51,0,1951.0
43,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,572.0,5,8.0,2650.0,684990.0,51,0,1896.0
44,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,630.0,5,8.0,2650.0,684990.0,51,0,1886.0
45,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,567.0,5,8.0,2650.0,684990.0,51,0,1861.0
46,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,740.0,5,8.0,2650.0,684990.0,51,0,1866.0
47,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,645.0,5,8.0,2650.0,684990.0,51,0,1816.0
48,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,769.0,5,8.0,2650.0,684990.0,51,0,1891.0
49,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,2,1.0,768.0,5,8.0,2650.0,684990.0,51,0,2740.0
50,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,2,1.0,756.0,5,8.0,2650.0,684990.0,51,0,2840.0
51,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,2,1.0,781.0,5,8.0,2650.0,684990.0,51,0,2815.0
52,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,0,1.0,535.0,3,3.33,2650.0,684990.0,48,0,1901.0
53,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,1,1.0,552.0,3,3.33,2650.0,684990.0,48,0,1700.0
