,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
11,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,777.0,2965.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
12,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,654.0,2680.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
13,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,643.0,2600.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
14,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,777.0,3015.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
15,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,944.0,3080.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
16,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,835.0,2880.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
17,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,877.0,2780.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
18,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,572.0,2520.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
19,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,615.0,2395.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
20,McKenzie,Apartment,"2202 Eighth Ave, Seattle, WA 98121",2018,1-bedroom,1.0,883.0,3030.0,3,6.0,2650.0,684990.0,"['10 Person Spa Tub', '24/7 Concierge', '360 degree wrap around deck', '39th Floor Fitness Center', 'Bike Parking and Wash Station', 'Bike repair station', 'California Closets in every home', 'Cardio Machines', 'Cats Allowed', 'Concierge', 'Either Bosch Or Bertazzoni Appliances', 'Elevator', 'Enclosed Garages Available', 'Fitness Center', 'Gas Ranges In Select Units', 'Great Room', 'Great Room with Territorial Views', 'Guest Suites Available', 'Island with Television and BBQs', 'Keiser, Techno Gym, and TRX', 'Large Dogs Allowed', 'Media and Entertainment Lounge with Kitchen', 'Outdoor Living Room with Fireplace Seating', 'Pneumatic Strength Machines', 'Precor Cardio Equipment', 'Private Dining & Conference Room', 'Private Dining and Conference Room', 'Private Garages Available', 'Quartz Countertops', 'Roof top dog spa', 'Sauna', 'Smart Lock Technology', 'Spa Relaxation Sanctuary', 'Spa With 10- Person Spa Tub', 'Space Needle view', 'Steam Room', 'Steam Room and Sauna', 'Sun deck with Chaise Lounges', 'TV & Bar Room', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wine Fridges In Select Units', 'Yoga Room With On-Demand Fitness Program', 'Yoga Room with On Demand Fitness Technology', 'outdoor dog zone']","['Air Conditioning', 'Disability Access', 'Fireplace', 'Garage', 'View']",https://www.realtor.com/realestateandhomes-detail/2208-8th-Ave_Seattle_WA_98121_M15105-59863
