,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Other,"2324 W Newton St Apt 302, Seattle, WA 98199",,2-bedroom,2,932.0,2700.0,5,8.2,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/2324-W-Newton-St-Apt-302_Seattle_WA_98199_M21149-70194
1,,Other,"8716 42nd Ave S, Seattle, WA 98118",,3-bedroom,,1500.0,2500.0,5,4.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/8716-42nd-Ave-S_Seattle_WA_98146_M26503-62162
2,,Condo/Townhome/Row Home/Co-Op,"3418A 22nd Ave W, Seattle, WA 98199",,3-bedroom,2.0,1570.0,3200.0,5,8.2,2650.0,684990.0,"['Parking', 'Spa/Hot Tub/Sauna']","['Air Conditioning', 'Dishwasher', 'Fireplace', 'Hardwood Floors', 'Large Closets', 'Patio/Balcony', 'Storage', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/3418A-22nd-Ave-W_Seattle_WA_98199_M29660-20775
3,,Apartment,"3058 63rd Avenue SW 3058 63rd Ave SW, Seattle, WA 98116",,2-bedroom,1.0,0.0,1700.0,5,7.0,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/3058-63rd-Ave-SW_Seattle_WA_98116_M21087-72339
4,,Condo/Townhome/Row Home/Co-Op,"4308 Winslow Pl N Unit B, Seattle, WA 98103",,3-bedroom,2.0,1300.0,3300.0,6,8.33,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed', 'Parking']","['Dishwasher', 'Fireplace', 'Garage', 'Hardwood Floors', 'Patio/Balcony', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/4308-Winslow-Pl-N-B_Seattle_WA_98103_M29900-95950
5,,Condo/Townhome/Row Home/Co-Op,"8004 25th Ave NW, Seattle, WA 98117",,2-bedroom,1.0,1100.0,2900.0,5,7.8,2650.0,684990.0,"['Parking', '']","['Dishwasher', 'Fireplace', 'Garage', 'Hardwood Floors', 'Large Closets', 'Patio/Balcony', 'Storage', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/8004-25th-Ave-NW_Seattle_WA_98117_M22901-40086
6,,Apartment,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",,studio,1.0,390.0,1325.0,4,3.25,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/1019-E-Pike-St_Seattle_WA_98122_M12930-49440
7,,Apartment,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",,1-bedroom,1.0,524.0,1545.0,4,3.25,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/1019-E-Pike-St_Seattle_WA_98122_M12930-49440
8,,Apartment,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",,1-bedroom,1.0,600.0,1725.0,4,3.25,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/1019-E-Pike-St_Seattle_WA_98122_M12930-49440
9,,Single Family Home,"1125 N 85th St, Seattle, WA 98103",,2-bedroom,1,1100.0,2050.0,3,7.67,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/1125-N-85th-St_Seattle_WA_98103_M29162-78081
10,,Other,"10306 Fischer Pl NE, Seattle, WA 98125",,2-bedroom,1,1200.0,2495.0,5,6.6,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/10306-Fischer-Pl-NE_Seattle_WA_98125_M15619-35751
11,,Single Family Home,"6747 Alonzo Ave NW, Seattle, WA 98117",,2-bedroom,1,1000.0,2500.0,5,7.8,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/6747-Alonzo-Ave-NW_Seattle_WA_98117_M14461-66395
12,Sedona Apartments,Apartment,"8520 20th Ave NE, Seattle, WA 98115",2015,studio,1.0,224.0,970.0,6,7.17,2650.0,684990.0,"['Balcony', 'Bike Racks', 'Cable Ready', 'Cable Ready', 'Cats Allowed', 'Controlled Access', 'Courtesy Patrol', 'Deck', 'Efficient Appliances', 'Electronic Thermostat', 'Furnished', 'Furnished Units Available', 'Garden', 'Gated', 'Green Building', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Laundry Facilities', 'Laundry Service', 'Off Street Parking', 'Recycling', 'Smoke Free', 'Vaulted Ceiling', 'Views', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Disability Access', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/8520-20th-Ave-NE_Seattle_WA_98115_M13447-11867
13,Sedona Apartments,Apartment,"8520 20th Ave NE, Seattle, WA 98115",2015,studio,1.0,223.0,1075.0,6,7.17,2650.0,684990.0,"['Balcony', 'Bike Racks', 'Cable Ready', 'Cable Ready', 'Cats Allowed', 'Controlled Access', 'Courtesy Patrol', 'Deck', 'Efficient Appliances', 'Electronic Thermostat', 'Furnished', 'Furnished Units Available', 'Garden', 'Gated', 'Green Building', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Laundry Facilities', 'Laundry Service', 'Off Street Parking', 'Recycling', 'Smoke Free', 'Vaulted Ceiling', 'Views', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Disability Access', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/8520-20th-Ave-NE_Seattle_WA_98115_M13447-11867
14,Sedona Apartments,Apartment,"8520 20th Ave NE, Seattle, WA 98115",2015,studio,1.0,0.0,850.0,6,7.17,2650.0,684990.0,"['Balcony', 'Bike Racks', 'Cable Ready', 'Cable Ready', 'Cats Allowed', 'Controlled Access', 'Courtesy Patrol', 'Deck', 'Efficient Appliances', 'Electronic Thermostat', 'Furnished', 'Furnished Units Available', 'Garden', 'Gated', 'Green Building', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Laundry Facilities', 'Laundry Service', 'Off Street Parking', 'Recycling', 'Smoke Free', 'Vaulted Ceiling', 'Views', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Disability Access', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/8520-20th-Ave-NE_Seattle_WA_98115_M13447-11867
15,Sedona Apartments,Apartment,"8520 20th Ave NE, Seattle, WA 98115",2015,studio,1.0,211.0,945.0,6,7.17,2650.0,684990.0,"['Balcony', 'Bike Racks', 'Cable Ready', 'Cable Ready', 'Cats Allowed', 'Controlled Access', 'Courtesy Patrol', 'Deck', 'Efficient Appliances', 'Electronic Thermostat', 'Furnished', 'Furnished Units Available', 'Garden', 'Gated', 'Green Building', 'Heating', 'High Ceilings', 'High Speed Internet Access', 'Laundry Facilities', 'Laundry Service', 'Off Street Parking', 'Recycling', 'Smoke Free', 'Vaulted Ceiling', 'Views', 'Wheelchair Accessible (Rooms)']","['Cable or Satellite TV', 'Disability Access', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/8520-20th-Ave-NE_Seattle_WA_98115_M13447-11867
16,,Apartment,"1111 East Olive Apartments 1111 E Olive St, Seattle, WA 98122",2018,1-bedroom,1.0,545.0,2030.0,3,3.33,2650.0,684990.0,"['Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bilingual', 'Cable Ready', 'Cats Allowed', 'Controlled Access', 'Deck', 'Den', 'Disposal Chutes', 'Dogs Allowed', 'Double Vanities', 'Elevator', 'Energy Star Certified', 'Fitness Center', 'Freezer', 'Grill', 'Heating', 'High Speed Internet Access', 'Ice Maker', 'Instant Hot Water', 'Island Kitchen', 'Lounge', 'Maintenance on site', 'On-Site Retail', 'Online Services', 'Oven', 'Package Service', 'Pet Play Area', 'Pet Washing Station', 'Property Manager on Site', 'Quartz Counter Tops', 'Range', 'Recycling', 'Rooftop Lounge', 'Smoke Free', 'Sprinkler System', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Tile Floors', 'Trash Compactor', 'Trash Pickup - Curbside', 'Tub/Shower', 'Views', 'Vinyl Flooring', 'Walk-In Closets', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)']","['Air Conditioning', 'Cable or Satellite TV', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View']",https://www.realtor.com/realestateandhomes-detail/1111-E-Olive-St_Seattle_WA_98122_M13519-41460
