,Address,Sqft,Beds,Bath,Type,Built,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
1045,"8th + Republican 430 Eighth Ave N, Seattle, WA 98109",752.0,1,1.0,Apartment,2016.0,3,6.0,2650.0,684990.0,11,0,2224.0
1046,"8th + Republican 430 Eighth Ave N, Seattle, WA 98109",825.0,1,1.0,Apartment,2016.0,3,6.0,2650.0,684990.0,11,0,1982.0
1047,"8th + Republican 430 Eighth Ave N, Seattle, WA 98109",968.0,2,2.0,Apartment,2016.0,3,6.0,2650.0,684990.0,11,0,2819.0
1048,"8th + Republican 430 Eighth Ave N, Seattle, WA 98109",1025.0,2,1.0,Apartment,2016.0,3,6.0,2650.0,684990.0,11,0,2867.0
1049,"900 SW Holden Street 900 SW Holden St, Seattle, WA 98106",696.0,1,1.0,Apartment,1967.0,5,3.6,2650.0,684990.0,1,0,1295.0
1050,"901 Hiawatha Pl S, Seattle, WA 98144",161.0,0,1.0,Apartment,2018.0,5,4.6,2650.0,684990.0,3,0,950.0
1051,"901 Hiawatha Pl S, Seattle, WA 98144",239.0,0,1.0,Apartment,2018.0,5,4.6,2650.0,684990.0,3,0,1210.0
1052,"9030 Greenwood Ave N 9030 Greenwood Ave N, Seattle, WA 98103",850.0,2,1.0,Apartment,1962.0,4,5.25,2650.0,684990.0,1,0,1695.0
1053,"905 Cherry St Apt 402, Seattle, WA 98104",505.0,1,1.0,Single Family Home,2014.0,5,3.6,2650.0,684990.0,0,2,1595.0
1054,"9050 Greenwood Ave N 9050 Greenwood Ave N, Seattle, WA 98103",524.0,1,1.0,Apartment,2014.0,4,5.25,2650.0,684990.0,1,0,1450.0
1055,"9050 Greenwood Ave N 9050 Greenwood Ave N, Seattle, WA 98103",526.0,1,1.0,Apartment,2014.0,4,5.25,2650.0,684990.0,1,0,1566.6666666666667
