,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Apartment,"1500 16th Avenue 1500 16th Ave, Seattle, WA 98122",,2-bedroom,1.0,800.0,2199.0,5,4.0,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/1500-16th-Ave_Seattle_WA_98122_M14830-23449
1,,Apartment,"401 N 43rd St. 401 N 43rd St, Seattle, WA 98103",,studio,1.0,350.0,1395.0,5,8.0,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/401-N-43rd-St_Seattle_WA_98103_M26126-36220
2,,Apartment,"401 N 43rd St. 401 N 43rd St, Seattle, WA 98103",,2-bedroom,1.0,870.0,2095.0,5,8.0,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/401-N-43rd-St_Seattle_WA_98103_M26126-36220
3,,Apartment,"6736 24th Ave NW 6736 24th Ave NW, Seattle, WA 98117",1963,1-bedroom,1.0,625.0,1695.0,5,7.4,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/6736-24th-Ave-NW_Seattle_WA_98117_M13437-64996
4,,Apartment,"6736 24th Ave NW 6736 24th Ave NW, Seattle, WA 98117",1963,1-bedroom,1.0,625.0,1745.0,5,7.4,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/6736-24th-Ave-NW_Seattle_WA_98117_M13437-64996
5,,Other,"2021 1st Ave Apt C10, Seattle, WA 98121",,2-bedroom,2,1581.0,4950.0,4,4.75,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/2021-1st-Ave-Apt-C10_Seattle_WA_98121_M10915-29744
6,,Other,"7023 40th Ave NE, Seattle, WA 98115",,4-bedroom,2,2180.0,2850.0,6,8.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/7023-40th-Ave-NE_Seattle_WA_98115_M23147-13384
7,,Single Family Home,"22244 24th Ave S Apt N98, Des Moines, WA 98198",,2-bedroom,1,739.0,1350.0,4,3.5,,,,,https://www.realtor.com/realestateandhomes-detail/22244-24th-Ave-S-Apt-N98_Des-Moines_WA_98198_M29058-86354
8,,Apartment,"700 Broadway 700 Broadway Ave E, Seattle, WA 98102",2004,studio,1.0,612.0,1820.0,3,3.33,2650.0,684990.0,"['9 ft. ceiling', 'Available storage for rent', 'BBQ', 'Balcony', 'Barbecue/Grill', 'Breakfast/Coffee Concierge', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Controlled Access', 'Corporate Suites', 'Crown Molding', 'Dining Room', 'Dogs Allowed', 'Eat-in Kitchen', 'Elevator', 'Freezer', 'Garden', 'Gated', 'Granite countertop', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Instant Hot Water', 'Intercom', 'Kitchen', 'Large Closets', 'Linen Closet', 'Maintenance on site', 'Microwave, Disposal, And Dishwasher', 'Oven', 'Patio', 'Pet Care', 'Picnic Area', 'Private courtyard', 'Private entrance to Roy St Cafe and FedEx', 'Range', 'Smoke Free', 'Sprinkler System', 'Stackable Washer & Dryer', 'Stainless Steel Appliances', 'Stainless Steel Appliances', 'Storage Units', 'Tub/Shower', 'Vaulted Ceiling', 'Views', 'Vinyl Flooring', 'Washer/Dryer']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/700-Broadway-E_Seattle_WA_98102_M25764-49248
9,,Apartment,"700 Broadway 700 Broadway Ave E, Seattle, WA 98102",2004,studio,1.0,426.0,1650.0,3,3.33,2650.0,684990.0,"['9 ft. ceiling', 'Available storage for rent', 'BBQ', 'Balcony', 'Barbecue/Grill', 'Breakfast/Coffee Concierge', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Clubhouse', 'Coffee Bar', 'Concierge', 'Controlled Access', 'Controlled Access', 'Corporate Suites', 'Crown Molding', 'Dining Room', 'Dogs Allowed', 'Eat-in Kitchen', 'Elevator', 'Freezer', 'Garden', 'Gated', 'Granite countertop', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Instant Hot Water', 'Intercom', 'Kitchen', 'Large Closets', 'Linen Closet', 'Maintenance on site', 'Microwave, Disposal, And Dishwasher', 'Oven', 'Patio', 'Pet Care', 'Picnic Area', 'Private courtyard', 'Private entrance to Roy St Cafe and FedEx', 'Range', 'Smoke Free', 'Sprinkler System', 'Stackable Washer & Dryer', 'Stainless Steel Appliances', 'Stainless Steel Appliances', 'Storage Units', 'Tub/Shower', 'Vaulted Ceiling', 'Views', 'Vinyl Flooring', 'Washer/Dryer']","['Cable or Satellite TV', 'Courtyard', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Microwave', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/700-Broadway-E_Seattle_WA_98102_M25764-49248
